id;start_date;end_date;language
1;2021-01-22T11:25:34;2021-01-22T09:15:49;SPANISH
2;2021-01-21T16:15:45;2021-01-22T11:20:10;SPANISH
3;2021-01-22T07:11:04;2021-01-21T17:45:13;FRENCH
4;2021-01-21T22:28:35;2021-01-22T10:00:01;FRENCH
5;2021-01-22T07:58:53;2021-01-22T12:45:52;FRENCH
6;2021-01-22T01:51:14;2021-01-22T13:59:28;FRENCH
7;2021-01-22T03:36:34;2021-01-21T21:27:25;FRENCH
8;2021-01-22T02:32:47;2021-01-22T12:48:55;SPANISH
9;2021-01-22T01:13:56;2021-01-21T21:55:19;SPANISH
10;2021-01-22T09:26:00;2021-01-21T20:00:30;SPANISH
